age,medv
65.2,24
78.9,21.6
61.1,34.7
45.8,33.4
54.2,36.2
58.7,28.7
66.6,22.9
96.1,27.1
100,16.5
85.9,18.9
94.3,15
82.9,18.9
39,21.7
61.8,20.4
84.5,18.2
56.5,19.9
29.3,23.1
81.7,17.5
36.6,20.2
69.5,18.2
98.1,13.6
89.2,19.6
91.7,15.2
100,14.5
94.1,15.6
85.7,13.9
90.3,16.6
88.8,14.8
94.4,18.4
87.3,21
94.1,12.7
100,14.5
82,13.2
95,13.1
96.9,13.5
68.2,18.9
61.4,20
41.5,21
30.2,24.7
21.8,30.8
15.8,34.9
2.9,26.6
6.6,25.3
6.5,24.7
40,21.2
33.8,19.3
33.3,20
85.5,16.6
95.3,14.4
62,19.4
45.7,19.7
63,20.5
21.1,25
21.4,23.4
47.6,18.9
21.9,35.4
35.7,24.7
40.5,31.6
29.2,23.3
47.2,19.6
66.2,18.7
93.4,16
67.8,22.2
43.4,25
59.5,33
17.8,23.5
31.1,19.4
21.4,22
36.8,17.4
33,20.9
6.6,24.2
17.5,21.7
7.8,22.8
6.2,23.4
6,24.1
45,21.4
74.5,20
45.8,20.8
53.7,21.2
36.6,20.3
33.5,28
70.4,23.9
32.2,24.8
46.7,22.9
48,23.9
56.1,26.6
45.1,22.5
56.8,22.2
86.3,23.6
63.1,28.7
66.1,22.6
73.9,22
53.6,22.9
28.9,25
77.3,20.6
57.8,28.4
69.6,21.4
76,38.7
36.9,43.8
62.5,33.2
79.9,27.5
71.3,26.5
85.4,18.6
87.4,19.3
90,20.1
96.7,19.5
91.9,19.5
85.2,20.4
97.1,19.8
91.2,19.4
54.4,21.7
81.6,22.8
92.9,18.8
95.4,18.7
84.2,18.5
88.2,18.3
72.5,21.2
82.6,19.2
73.1,20.4
65.2,19.3
69.7,22
84.1,20.3
92.9,20.5
97,17.3
95.8,18.8
88.4,21.4
95.6,15.7
96,16.2
98.8,18
94.7,14.3
98.9,19.2
97.7,19.6
97.9,23
95.4,18.4
98.4,15.6
98.2,18.1
93.5,17.4
98.4,17.1
98.2,13.3
97.9,17.8
93.6,14
100,14.4
100,13.4
100,15.6
97.8,11.8
100,13.8
100,15.6
95.7,14.6
93.8,17.8
94.9,15.4
97.3,21.5
100,19.6
88,15.3
98.5,19.4
96,17
82.6,15.6
94,13.1
97.4,41.3
100,24.3
100,23.3
92.6,27
90.8,50
98.2,50
93.9,50
91.8,22.7
93,25
96.2,50
79.2,23.8
96.1,23.8
95.2,22.3
94.6,17.4
97.3,19.1
88.5,23.1
84.1,23.6
68.7,22.6
33.1,29.4
47.2,23.2
73.4,24.6
74.4,29.9
58.4,37.2
83.3,39.8
62.2,36.2
92.2,37.9
95.6,32.5
89.8,26.4
68.8,29.6
53.6,50
41.1,32
29.1,29.8
38.9,34.9
21.5,37
30.8,30.5
26.3,36.4
9.9,31.1
18.8,29.1
32,50
34.1,33.3
36.6,30.3
38.3,34.6
15.3,34.9
13.9,32.9
38.4,24.1
15.7,42.3
33.2,48.5
31.9,50
22.3,22.6
52.5,24.4
72.7,22.5
59.1,24.4
100,20
92.1,21.7
88.6,19.3
53.8,22.4
32.3,28.1
9.8,23.7
42.4,25
56,23.3
85.1,28.7
93.8,21.5
92.4,23
88.5,26.7
91.3,21.7
77.7,27.5
80.8,30.1
78.3,44.8
83,50
86.5,37.6
79.9,31.6
17,46.7
21.4,31.5
68.1,24.3
76.9,31.7
73.3,41.7
70.4,48.3
66.5,29
61.5,24
76.5,25.1
71.6,31.5
18.5,23.7
42.2,23.3
54.3,22
65.1,20.1
52.9,22.2
7.8,23.7
76.5,17.6
70.2,18.5
34.9,24.3
79.2,20.5
49.1,24.5
17.5,26.2
13,24.4
8.9,24.8
6.8,29.6
8.4,42.8
32,21.9
19.1,20.9
34.2,44
86.9,50
100,36
100,30.1
81.8,33.8
89.4,43.1
91.5,48.8
94.5,31
91.6,36.5
62.8,22.8
84.6,30.7
67,50
52.6,43.5
61.5,20.7
42.1,21.1
16.3,25.2
58.7,24.4
51.8,35.2
32.9,32.4
42.8,32
49,33.2
27.6,33.1
32.1,29.1
32.2,35.1
64.5,45.4
37.2,35.4
49.7,46
24.8,50
20.8,32.2
31.9,22
31.5,20.1
31.3,23.2
45.6,22.3
22.9,24.8
